Key,English,简体中文
block.minecraft.oak_pressure_plate,Oak Pressure Plate,橡木压力板
block.minecraft.oak_sapling,Oak Sapling,橡树树苗
block.minecraft.oak_sign,Oak Sign,橡木告示牌
block.minecraft.oak_slab,Oak Slab,橡木台阶
block.minecraft.oak_stairs,Oak Stairs,橡木楼梯
block.minecraft.oak_trapdoor,Oak Trapdoor,橡木活板门
block.minecraft.oak_wall_sign,Oak Wall Sign,墙上的橡木告示牌
block.minecraft.oak_wood,Oak Wood,橡木
block.minecraft.observer,Observer,侦测器
block.minecraft.obsidian,Obsidian,黑曜石
block.minecraft.ominous_banner,Ominous Banner,灾厄旗帜
block.minecraft.orange_banner,Orange Banner,橙色旗帜
block.minecraft.orange_bed,Orange Bed,橙色床
block.minecraft.orange_candle,Orange Candle,橙色蜡烛
block.minecraft.orange_candle_cake,Cake with Orange Candle,插上橙色蜡烛的蛋糕
block.minecraft.orange_carpet,Orange Carpet,橙色地毯
block.minecraft.orange_concrete,Orange Concrete,橙色混凝土
block.minecraft.orange_concrete_powder,Orange Concrete Powder,橙色混凝土粉末
block.minecraft.orange_glazed_terracotta,Orange Glazed Terracotta,橙色带釉陶瓦
block.minecraft.orange_shulker_box,Orange Shulker Box,橙色潜影盒
block.minecraft.orange_stained_glass,Orange Stained Glass,橙色染色玻璃
block.minecraft.orange_stained_glass_pane,Orange Stained Glass Pane,橙色染色玻璃板
block.minecraft.orange_terracotta,Orange Terracotta,橙色陶瓦
block.minecraft.orange_tulip,Orange Tulip,橙色郁金香
block.minecraft.orange_wool,Orange Wool,橙色羊毛
block.minecraft.oxeye_daisy,Oxeye Daisy,滨菊
block.minecraft.oxidized_copper,Oxidized Copper,氧化的铜块
block.minecraft.oxidized_cut_copper,Oxidized Cut Copper,氧化的切制铜块
block.minecraft.oxidized_cut_copper_slab,Oxidized Cut Copper Slab,氧化的切制铜台阶
block.minecraft.oxidized_cut_copper_stairs,Oxidized Cut Copper Stairs,氧化的切制铜楼梯
block.minecraft.packed_ice,Packed Ice,浮冰
block.minecraft.peony,Peony,牡丹
block.minecraft.petrified_oak_slab,Petrified Oak Slab,石化橡木台阶
block.minecraft.pink_banner,Pink Banner,粉红色旗帜
block.minecraft.pink_bed,Pink Bed,粉红色床
block.minecraft.pink_candle,Pink Candle,粉红色蜡烛
block.minecraft.pink_candle_cake,Cake with Pink Candle,插上粉红色蜡烛的蛋糕
block.minecraft.pink_carpet,Pink Carpet,粉红色地毯
block.minecraft.pink_concrete,Pink Concrete,粉红色混凝土
block.minecraft.pink_concrete_powder,Pink Concrete Powder,粉红色混凝土粉末
block.minecraft.pink_glazed_terracotta,Pink Glazed Terracotta,粉红色带釉陶瓦
block.minecraft.pink_shulker_box,Pink Shulker Box,粉红色潜影盒
block.minecraft.pink_stained_glass,Pink Stained Glass,粉红色染色玻璃
block.minecraft.pink_stained_glass_pane,Pink Stained Glass Pane,粉红色染色玻璃板
block.minecraft.pink_terracotta,Pink Terracotta,粉红色陶瓦
block.minecraft.pink_tulip,Pink Tulip,粉红色郁金香
block.minecraft.pink_wool,Pink Wool,粉红色羊毛
block.minecraft.piston,Piston,活塞
block.minecraft.piston_head,Piston Head,活塞头
block.minecraft.player_head,Player Head,玩家头颅
block.minecraft.player_head.named,%s's Head,%s的头
block.minecraft.player_wall_head,Player Wall Head,墙上的玩家头颅
block.minecraft.podzol,Podzol,灰化土
block.minecraft.pointed_dripstone,Pointed Dripstone,滴水石锥
block.minecraft.polished_andesite,Polished Andesite,磨制安山岩
block.minecraft.polished_andesite_slab,Polished Andesite Slab,磨制安山岩台阶
block.minecraft.polished_andesite_stairs,Polished Andesite Stairs,磨制安山岩楼梯
block.minecraft.polished_basalt,Polished Basalt,磨制玄武岩
block.minecraft.polished_blackstone,Polished Blackstone,磨制黑石
block.minecraft.polished_blackstone_brick_slab,Polished Blackstone Brick Slab,磨制黑石砖台阶
block.minecraft.polished_blackstone_brick_stairs,Polished Blackstone Brick Stairs,磨制黑石砖楼梯
block.minecraft.polished_blackstone_brick_wall,Polished Blackstone Brick Wall,磨制黑石砖墙
block.minecraft.polished_blackstone_bricks,Polished Blackstone Bricks,磨制黑石砖
block.minecraft.polished_blackstone_button,Polished Blackstone Button,磨制黑石按钮
block.minecraft.polished_blackstone_pressure_plate,Polished Blackstone Pressure Plate,磨制黑石压力板
block.minecraft.polished_blackstone_slab,Polished Blackstone Slab,磨制黑石台阶
block.minecraft.polished_blackstone_stairs,Polished Blackstone Stairs,磨制黑石楼梯
block.minecraft.polished_blackstone_wall,Polished Blackstone Wall,磨制黑石墙
block.minecraft.polished_deepslate,Polished Deepslate,磨制深板岩
block.minecraft.polished_deepslate_slab,Polished Deepslate Slab,磨制深板岩台阶
block.minecraft.polished_deepslate_stairs,Polished Deepslate Stairs,磨制深板岩楼梯
block.minecraft.polished_deepslate_wall,Polished Deepslate Wall,磨制深板岩墙
block.minecraft.polished_diorite,Polished Diorite,磨制闪长岩
block.minecraft.polished_diorite_slab,Polished Diorite Slab,磨制闪长岩台阶
block.minecraft.polished_diorite_stairs,Polished Diorite Stairs,磨制闪长岩楼梯
block.minecraft.polished_granite,Polished Granite,磨制花岗岩
block.minecraft.polished_granite_slab,Polished Granite Slab,磨制花岗岩台阶
block.minecraft.polished_granite_stairs,Polished Granite Stairs,磨制花岗岩楼梯
block.minecraft.poppy,Poppy,虞美人
block.minecraft.potatoes,Potatoes,马铃薯
block.minecraft.potted_acacia_sapling,Potted Acacia Sapling,金合欢树苗盆栽
block.minecraft.potted_allium,Potted Allium,绒球葱盆栽
block.minecraft.potted_azalea_bush,Potted Azalea,杜鹃花丛盆栽
block.minecraft.potted_azure_bluet,Potted Azure Bluet,蓝花美耳草盆栽
block.minecraft.potted_bamboo,Potted Bamboo,竹子盆栽
block.minecraft.potted_birch_sapling,Potted Birch Sapling,白桦树苗盆栽
block.minecraft.potted_blue_orchid,Potted Blue Orchid,兰花盆栽
block.minecraft.potted_brown_mushroom,Potted Brown Mushroom,棕色蘑菇盆栽
block.minecraft.potted_cactus,Potted Cactus,仙人掌盆栽
block.minecraft.potted_cornflower,Potted Cornflower,矢车菊盆栽
block.minecraft.potted_crimson_fungus,Potted Crimson Fungus,绯红菌盆栽
block.minecraft.potted_crimson_roots,Potted Crimson Roots,绯红菌索盆栽
block.minecraft.potted_dandelion,Potted Dandelion,蒲公英盆栽
block.minecraft.potted_dark_oak_sapling,Potted Dark Oak Sapling,深色橡树树苗盆栽
block.minecraft.potted_dead_bush,Potted Dead Bush,枯萎的灌木盆栽
block.minecraft.potted_fern,Potted Fern,蕨盆栽
block.minecraft.potted_flowering_azalea_bush,Potted Flowering Azalea,盛开的杜鹃花丛盆栽
block.minecraft.potted_jungle_sapling,Potted Jungle Sapling,丛林树苗盆栽
block.minecraft.potted_lily_of_the_valley,Potted Lily of the Valley,铃兰盆栽
block.minecraft.potted_oak_sapling,Potted Oak Sapling,橡树树苗盆栽
block.minecraft.potted_orange_tulip,Potted Orange Tulip,橙色郁金香盆栽
block.minecraft.potted_oxeye_daisy,Potted Oxeye Daisy,滨菊盆栽
block.minecraft.potted_pink_tulip,Potted Pink Tulip,粉红色郁金香盆栽
block.minecraft.potted_poppy,Potted Poppy,虞美人盆栽
block.minecraft.potted_red_mushroom,Potted Red Mushroom,红色蘑菇盆栽
block.minecraft.potted_red_tulip,Potted Red Tulip,红色郁金香盆栽
block.minecraft.potted_spruce_sapling,Potted Spruce Sapling,云杉树苗盆栽
block.minecraft.potted_warped_fungus,Potted Warped Fungus,诡异菌盆栽
block.minecraft.potted_warped_roots,Potted Warped Roots,诡异菌索盆栽
block.minecraft.potted_white_tulip,Potted White Tulip,白色郁金香盆栽
block.minecraft.potted_wither_rose,Potted Wither Rose,凋零玫瑰盆栽
block.minecraft.powder_snow,Powder Snow,细雪
block.minecraft.powder_snow_cauldron,Powder Snow Cauldron,装有细雪的炼药锅
block.minecraft.powered_rail,Powered Rail,动力铁轨
block.minecraft.prismarine,Prismarine,海晶石
block.minecraft.prismarine_brick_slab,Prismarine Brick Slab,海晶石砖台阶
block.minecraft.prismarine_brick_stairs,Prismarine Brick Stairs,海晶石砖楼梯
block.minecraft.prismarine_bricks,Prismarine Bricks,海晶石砖
block.minecraft.prismarine_slab,Prismarine Slab,海晶石台阶
block.minecraft.prismarine_stairs,Prismarine Stairs,海晶石楼梯
block.minecraft.prismarine_wall,Prismarine Wall,海晶石墙
block.minecraft.pumpkin,Pumpkin,南瓜
block.minecraft.pumpkin_stem,Pumpkin Stem,南瓜茎
block.minecraft.purple_banner,Purple Banner,紫色旗帜
block.minecraft.purple_bed,Purple Bed,紫色床
block.minecraft.purple_candle,Purple Candle,紫色蜡烛
block.minecraft.purple_candle_cake,Cake with Purple Candle,插上紫色蜡烛的蛋糕
block.minecraft.purple_carpet,Purple Carpet,紫色地毯
block.minecraft.purple_concrete,Purple Concrete,紫色混凝土
block.minecraft.purple_concrete_powder,Purple Concrete Powder,紫色混凝土粉末
block.minecraft.purple_glazed_terracotta,Purple Glazed Terracotta,紫色带釉陶瓦
block.minecraft.purple_shulker_box,Purple Shulker Box,紫色潜影盒
block.minecraft.purple_stained_glass,Purple Stained Glass,紫色染色玻璃
block.minecraft.purple_stained_glass_pane,Purple Stained Glass Pane,紫色染色玻璃板
block.minecraft.purple_terracotta,Purple Terracotta,紫色陶瓦
block.minecraft.purple_wool,Purple Wool,紫色羊毛
block.minecraft.purpur_block,Purpur Block,紫珀块
block.minecraft.purpur_pillar,Purpur Pillar,紫珀柱
block.minecraft.purpur_slab,Purpur Slab,紫珀台阶
block.minecraft.purpur_stairs,Purpur Stairs,紫珀楼梯
block.minecraft.quartz_block,Block of Quartz,石英块
block.minecraft.quartz_bricks,Quartz Bricks,石英砖
block.minecraft.quartz_pillar,Quartz Pillar,石英柱
block.minecraft.quartz_slab,Quartz Slab,石英台阶
block.minecraft.quartz_stairs,Quartz Stairs,石英楼梯
block.minecraft.rail,Rail,铁轨
block.minecraft.raw_copper_block,Block of Raw Copper,粗铜块
block.minecraft.raw_gold_block,Block of Raw Gold,粗金块
block.minecraft.raw_iron_block,Block of Raw Iron,粗铁块
block.minecraft.red_banner,Red Banner,红色旗帜
block.minecraft.red_bed,Red Bed,红色床
block.minecraft.red_candle,Red Candle,红色蜡烛
block.minecraft.red_candle_cake,Cake with Red Candle,插上红色蜡烛的蛋糕
block.minecraft.red_carpet,Red Carpet,红色地毯
block.minecraft.red_concrete,Red Concrete,红色混凝土
block.minecraft.red_concrete_powder,Red Concrete Powder,红色混凝土粉末
block.minecraft.red_glazed_terracotta,Red Glazed Terracotta,红色带釉陶瓦
block.minecraft.red_mushroom,Red Mushroom,红色蘑菇
block.minecraft.red_mushroom_block,Red Mushroom Block,红色蘑菇方块
block.minecraft.red_nether_brick_slab,Red Nether Brick Slab,红色下界砖台阶
block.minecraft.red_nether_brick_stairs,Red Nether Brick Stairs,红色下界砖楼梯
block.minecraft.red_nether_brick_wall,Red Nether Brick Wall,红色下界砖墙
block.minecraft.red_nether_bricks,Red Nether Bricks,红色下界砖块
block.minecraft.red_sand,Red Sand,红沙
block.minecraft.red_sandstone,Red Sandstone,红砂岩
block.minecraft.red_sandstone_slab,Red Sandstone Slab,红砂岩台阶
block.minecraft.red_sandstone_stairs,Red Sandstone Stairs,红砂岩楼梯
block.minecraft.red_sandstone_wall,Red Sandstone Wall,红砂岩墙
block.minecraft.red_shulker_box,Red Shulker Box,红色潜影盒
block.minecraft.red_stained_glass,Red Stained Glass,红色染色玻璃
block.minecraft.red_stained_glass_pane,Red Stained Glass Pane,红色染色玻璃板
block.minecraft.red_terracotta,Red Terracotta,红色陶瓦
block.minecraft.red_tulip,Red Tulip,红色郁金香
block.minecraft.red_wool,Red Wool,红色羊毛
block.minecraft.redstone_block,Block of Redstone,红石块
block.minecraft.redstone_lamp,Redstone Lamp,红石灯
block.minecraft.redstone_ore,Redstone Ore,红石矿石
block.minecraft.redstone_torch,Redstone Torch,红石火把
block.minecraft.redstone_wall_torch,Redstone Wall Torch,墙上的红石火把
block.minecraft.redstone_wire,Redstone Wire,红石线
block.minecraft.repeater,Redstone Repeater,红石中继器
block.minecraft.repeating_command_block,Repeating Command Block,循环型命令方块
block.minecraft.respawn_anchor,Respawn Anchor,重生锚
block.minecraft.rooted_dirt,Rooted Dirt,缠根泥土
block.minecraft.rose_bush,Rose Bush,玫瑰丛
block.minecraft.sand,Sand,沙子
block.minecraft.sandstone,Sandstone,砂岩
block.minecraft.sandstone_slab,Sandstone Slab,砂岩台阶
block.minecraft.sandstone_stairs,Sandstone Stairs,砂岩楼梯
block.minecraft.sandstone_wall,Sandstone Wall,砂岩墙
block.minecraft.scaffolding,Scaffolding,脚手架
block.minecraft.sculk_sensor,Sculk Sensor,潜声传感器
block.minecraft.sea_lantern,Sea Lantern,海晶灯
block.minecraft.sea_pickle,Sea Pickle,海泡菜
block.minecraft.seagrass,Seagrass,海草
block.minecraft.set_spawn,Respawn point set,已设置重生点
block.minecraft.shroomlight,Shroomlight,菌光体
block.minecraft.shulker_box,Shulker Box,潜影盒
block.minecraft.skeleton_skull,Skeleton Skull,骷髅头颅
block.minecraft.skeleton_wall_skull,Skeleton Wall Skull,墙上的骷髅头颅
block.minecraft.slime_block,Slime Block,黏液块
block.minecraft.small_amethyst_bud,Small Amethyst Bud,小型紫晶芽
block.minecraft.small_dripleaf,Small Dripleaf,小型垂滴叶
block.minecraft.smithing_table,Smithing Table,锻造台
block.minecraft.smoker,Smoker,烟熏炉
block.minecraft.smooth_basalt,Smooth Basalt,平滑玄武岩
block.minecraft.smooth_quartz,Smooth Quartz Block,平滑石英块
block.minecraft.smooth_quartz_slab,Smooth Quartz Slab,平滑石英台阶
block.minecraft.smooth_quartz_stairs,Smooth Quartz Stairs,平滑石英楼梯
block.minecraft.smooth_red_sandstone,Smooth Red Sandstone,平滑红砂岩
block.minecraft.smooth_red_sandstone_slab,Smooth Red Sandstone Slab,平滑红砂岩台阶
block.minecraft.smooth_red_sandstone_stairs,Smooth Red Sandstone Stairs,平滑红砂岩楼梯
block.minecraft.smooth_sandstone,Smooth Sandstone,平滑砂岩
block.minecraft.smooth_sandstone_slab,Smooth Sandstone Slab,平滑砂岩台阶
block.minecraft.smooth_sandstone_stairs,Smooth Sandstone Stairs,平滑砂岩楼梯
block.minecraft.smooth_stone,Smooth Stone,平滑石头
block.minecraft.smooth_stone_slab,Smooth Stone Slab,平滑石头台阶
block.minecraft.snow,Snow,雪
block.minecraft.snow_block,Snow Block,雪块
block.minecraft.soul_campfire,Soul Campfire,灵魂营火
block.minecraft.soul_fire,Soul Fire,灵魂火
block.minecraft.soul_lantern,Soul Lantern,灵魂灯笼
block.minecraft.soul_sand,Soul Sand,灵魂沙
block.minecraft.soul_soil,Soul Soil,灵魂土
block.minecraft.soul_torch,Soul Torch,灵魂火把
block.minecraft.soul_wall_torch,Soul Wall Torch,墙上的灵魂火把
block.minecraft.spawn.not_valid,"You have no home bed or charged respawn anchor, or it was obstructed",你的床或已充能的重生锚不存在或已被阻挡
block.minecraft.spawner,Spawner,刷怪笼
block.minecraft.sponge,Sponge,海绵
block.minecraft.spore_blossom,Spore Blossom,孢子花
block.minecraft.spruce_button,Spruce Button,云杉木按钮
block.minecraft.spruce_door,Spruce Door,云杉木门
block.minecraft.spruce_fence,Spruce Fence,云杉木栅栏
block.minecraft.spruce_fence_gate,Spruce Fence Gate,云杉木栅栏门
block.minecraft.spruce_leaves,Spruce Leaves,云杉树叶
block.minecraft.spruce_log,Spruce Log,云杉原木
block.minecraft.spruce_planks,Spruce Planks,云杉木板
block.minecraft.spruce_pressure_plate,Spruce Pressure Plate,云杉木压力板
block.minecraft.spruce_sapling,Spruce Sapling,云杉树苗
block.minecraft.spruce_sign,Spruce Sign,云杉木告示牌
block.minecraft.spruce_slab,Spruce Slab,云杉木台阶
block.minecraft.spruce_stairs,Spruce Stairs,云杉木楼梯
block.minecraft.spruce_trapdoor,Spruce Trapdoor,云杉木活板门
block.minecraft.spruce_wall_sign,Spruce Wall Sign,墙上的云杉木告示牌
block.minecraft.spruce_wood,Spruce Wood,云杉木
block.minecraft.sticky_piston,Sticky Piston,黏性活塞
block.minecraft.stone,Stone,石头
block.minecraft.stone_brick_slab,Stone Brick Slab,石砖台阶
block.minecraft.stone_brick_stairs,Stone Brick Stairs,石砖楼梯
block.minecraft.stone_brick_wall,Stone Brick Wall,石砖墙
block.minecraft.stone_bricks,Stone Bricks,石砖
block.minecraft.stone_button,Stone Button,石头按钮
block.minecraft.stone_pressure_plate,Stone Pressure Plate,石头压力板
block.minecraft.stone_slab,Stone Slab,石头台阶
block.minecraft.stone_stairs,Stone Stairs,石头楼梯
block.minecraft.stonecutter,Stonecutter,切石机
block.minecraft.stripped_acacia_log,Stripped Acacia Log,去皮金合欢原木
block.minecraft.stripped_acacia_wood,Stripped Acacia Wood,去皮金合欢木
block.minecraft.stripped_birch_log,Stripped Birch Log,去皮白桦原木
block.minecraft.stripped_birch_wood,Stripped Birch Wood,去皮白桦木
block.minecraft.stripped_crimson_hyphae,Stripped Crimson Hyphae,去皮绯红菌核
block.minecraft.stripped_crimson_stem,Stripped Crimson Stem,去皮绯红菌柄
block.minecraft.stripped_dark_oak_log,Stripped Dark Oak Log,去皮深色橡木原木
block.minecraft.stripped_dark_oak_wood,Stripped Dark Oak Wood,去皮深色橡木
block.minecraft.stripped_jungle_log,Stripped Jungle Log,去皮丛林原木
block.minecraft.stripped_jungle_wood,Stripped Jungle Wood,去皮丛林木
block.minecraft.stripped_oak_log,Stripped Oak Log,去皮橡木原木
block.minecraft.stripped_oak_wood,Stripped Oak Wood,去皮橡木
block.minecraft.stripped_spruce_log,Stripped Spruce Log,去皮云杉原木
block.minecraft.stripped_spruce_wood,Stripped Spruce Wood,去皮云杉木
block.minecraft.stripped_warped_hyphae,Stripped Warped Hyphae,去皮诡异菌核
block.minecraft.stripped_warped_stem,Stripped Warped Stem,去皮诡异菌柄
block.minecraft.structure_block,Structure Block,结构方块
block.minecraft.structure_void,Structure Void,结构空位
block.minecraft.sugar_cane,Sugar Cane,甘蔗
block.minecraft.sunflower,Sunflower,向日葵
block.minecraft.sweet_berry_bush,Sweet Berry Bush,甜浆果丛
block.minecraft.tall_grass,Tall Grass,高草丛
